index,code,meaning,recommended_threshold_formula
0,EXIT_BANKRUPTCY,Formal bankruptcy filing or court-supervised insolvency,Triggered by formal bankruptcy/insolvency filing date in legal/registry data.
1,EXIT_INSOLVENCY_NO_FILING,Business becomes insolvent without formal bankruptcy filing,"Triggered when business ceases operations with indicators of insolvency (e.g., sustained nonpayment + account closure) but no filing; define as >=90 days past due AND cash runway <1M AND revenue ~0 for >=2 periods."
2,EXIT_FORCED_CLOSURE,"Business forced to close by creditors, authorities, or landlord","Triggered by documented forced closure event (eviction, license revocation, court order); if proxy: stop in transactions + enforcement action within 60d."
3,EXIT_DISTRESSED_RESTRUCTURE,Distressed debt or operational restructuring,Triggered by restructuring agreement date; proxy: new repayment plan + principal/interest modification flags.
4,EXIT_VOLUNTARY_CLOSURE,Owner voluntarily closes the business,Triggered by dissolution/closure registry date without distress flags in prior 90d; proxy: transactions stop + no delinquency/tax arrears.
5,EXIT_ACQUIRED_SMALL,Business acquired by another small or private entity,Triggered by acquisition/asset sale date recorded; proxy: ownership change + continuity of operations.
6,EXIT_DATA_CENSORING,Observation ends without known exit outcome,Triggered when observation ends (end of data feed) without exit token; censor at last known active date.
7,CASH_BALANCE_ZERO,Cash balance reached zero,cash_balance(t) <= 0
8,CASH_RUNWAY_LT_1M,Cash runway less than one month,"cash_runway_months = cash_balance(t) / max(1, avg_net_cash_burn_3m(t)); token if cash_runway_months < 1"
9,CASH_RUNWAY_1_3M,Cash runway between one and three months,"cash_runway_months = cash_balance / max(1, avg_net_cash_burn_3m); token if 1 <= runway < 3"
10,CASH_RUNWAY_3_6M,Cash runway between three and six months,"cash_runway_months = cash_balance / max(1, avg_net_cash_burn_3m); token if 3 <= runway < 6"
11,CASH_RUNWAY_GT_6M,Cash runway greater than six months,"cash_runway_months = cash_balance / max(1, avg_net_cash_burn_3m); token if runway >= 6"
12,CASH_VOLATILITY_HIGH,High volatility in cash balances,"cash_vol = std(cash_balance over last 90d) / max(1, mean(cash_balance over last 90d)); token if cash_vol >= 0.5"
13,CFO_NEG_1_PERIOD,Operating cash flow negative for one period,CFO(t) < 0 (for current period)
14,CFO_NEG_2_CONSEC,Operating cash flow negative for two consecutive periods,CFO(t) < 0 AND CFO(t-1) < 0
15,CFO_NEG_4_CONSEC,Operating cash flow negative for four consecutive periods,CFO(t-k) < 0 for k=0..3
16,CFO_DROP_SHARP,Sharp decline in operating cash flow,"CFO_drop = (CFO(t) - CFO(t-1)) / max(1, abs(CFO(t-1))); token if CFO_drop <= -0.5"
17,CFO_RECOVERY,Operating cash flow shows recovery,CFO(t) > 0 AND CFO(t-1) < 0 (or 2-period moving average turns positive)
18,REV_DROP_10_20,Revenue declined by 10–20%,"rev_yoy = (rev(t) - rev(t-12m)) / max(1, rev(t-12m)); token if -0.20 < rev_yoy <= -0.10"
19,REV_DROP_20_40,Revenue declined by 20–40%,"rev_yoy = (rev(t) - rev(t-12m)) / max(1, rev(t-12m)); token if -0.40 < rev_yoy <= -0.20"
20,REV_DROP_GT_40,Revenue declined by more than 40%,"rev_yoy = (rev(t) - rev(t-12m)) / max(1, rev(t-12m)); token if rev_yoy <= -0.40"
21,REV_VOLATILITY_HIGH,High volatility in revenue,"rev_vol = std(rev over last 12m) / max(1, mean(rev over last 12m)); token if rev_vol >= 0.5"
22,REV_SEASONAL_GAP,Seasonal revenue gap detected,token if rev(t) <= 0.2*median(rev for same month over prior 2y) AND industry_seasonal_flag=1
23,REV_RECOVERY,Revenue recovery observed,token if rev_yoy >= 0.10 OR (rev(t) > rev(t-1) for 3 consecutive months)
24,LIQ_CURRENT_RATIO_CRIT,Current ratio at critical low level,"current_ratio = current_assets / max(1, current_liabilities); token if current_ratio < 1.0"
25,LIQ_CURRENT_RATIO_LOW,Current ratio below healthy range,"current_ratio = current_assets / max(1, current_liabilities); token if 1.0 <= current_ratio < 1.5"
